Rank (Borda),Model,Total Parameters (B),Embedding Dimensions,Max Tokens,Reranking,Retrieval
294,m2v-dfm-large,0.023,256.0,0.0,0.0,0.0
395,opensearch-neural-sparse-encoding-doc-v2-mini,0.023,30522.0,512.0,0.0,0.0
234,multi-qa-MiniLM-L6-cos-v1,0.023,384.0,512.0,0.0,0.0
416,LateOn-Code-edge-pretrain,0.017,48.0,7999.0,0.0,0.0
414,LateOn-Code-edge,0.017,48.0,7999.0,0.0,0.0
219,mdbr-leaf-mt,0.023,1024.0,512.0,0.0,0.0
345,mdbr-leaf-ir,0.023,768.0,512.0,0.0,0.0
402,pubmedbert-base-embeddings-8M,0.008,256.0,0.0,0.0,0.0
403,pubmedbert-base-embeddings-500K,0.001,64.0,0.0,0.0,0.0
401,pubmedbert-base-embeddings-1M,0.001,64.0,0.0,0.0,0.0
400,pubmedbert-base-embeddings-2M,0.002,64.0,0.0,0.0,0.0
254,potion-base-32M,0.032,512.0,0.0,0.0,0.0
319,gte-small-zh,0.03,1024.0,512.0,0.0,0.0
246,static-retrieval-mrl-en-v1,0.031,1024.0,0.0,0.0,0.0
348,m3e-base,0.102,768.0,512.0,0.0,0.0
313,text2vec-base-chinese,0.102,768.0,512.0,0.0,0.0
295,model2vecdk-stem,0.049,256.0,0.0,0.0,0.0
228,granite-embedding-small-english-r2,0.048,384.0,8192.0,0.0,0.0
318,sbert-chinese-general-v1,0.102,128.0,512.0,0.0,0.0
332,ruri-v3-70m,0.07,256.0,8192.0,0.0,0.0
304,Dmeta-embedding-zh-small,0.074,768.0,1024.0,0.0,0.0
394,opensearch-neural-sparse-encoding-doc-v2-distill,0.066,30522.0,512.0,0.0,0.0
387,opensearch-neural-sparse-encoding-doc-v3-distill,0.066,30522.0,512.0,0.0,0.0
392,PawanEmbd-68M,0.068,768.0,512.0,0.0,0.0
333,ruri-base-v2,0.111,768.0,512.0,0.0,0.0
331,ruri-base,0.111,768.0,512.0,0.0,0.0
368,bge-base-zh,0.109,768.0,512.0,0.0,0.0
271,gtr-t5-base,0.11,768.0,512.0,0.0,0.0
316,atles-champion-embedding,0.109,768.0,512.0,0.0,0.0
237,bge-base-en,0.109,768.0,512.0,0.0,0.0
283,cadet-embed-base-v1,0.109,768.0,512.0,0.0,0.0
302,bge-base-zh-v1.5,0.109,768.0,512.0,0.0,0.0
300,stella-base-zh-v3-1792d,0.104,1792.0,512.0,0.0,0.0
307,piccolo-base-zh,0.102,768.0,512.0,0.0,0.0
307,gte-base-zh,0.102,1024.0,512.0,0.0,0.0
417,BiCA-base,0.109,768.0,512.0,0.0,0.0
419,colbertv2.0,0.109,0.0,180.0,0.0,0.0
373,bge-small-zh,0.033,512.0,512.0,0.0,0.0
