,Rank (Borda),Model,Zero-shot,Active Parameters (B),Total Parameters (B),Embedding Dimensions,Max Tokens,Mean (Task),Mean (TaskType),Bitext Mining,Classification,Clustering,Instruction Reranking,Multilabel Classification,Pair Classification,Reranking,Retrieval,STS
279,280,[text-embedding-3-small (embed_dim=512)](https://openai.com/index/new-embedding-models-and-api-updates/),⚠️ NA,,,512.0,8191.0,,,,,,,,,,,
280,281,[e5-large-trm-nl](https://huggingface.co/clips/e5-large-trm-nl),99%,0.304,0.355,1024.0,514.0,,,,,,,,,,,
281,282,[mmBERTscandi-base-embedding](https://huggingface.co/emillykkejensen/Qwen3-Embedding-Scandi-0.6B),100%,0.11,0.307,768.0,8192.0,,,,,,,,,,,
282,283,[cadet-embed-base-v1](https://huggingface.co/manveertamber/cadet-embed-base-v1),97%,0.086,0.109,768.0,512.0,,,,,,,,,,,
283,284,[EmbeddingGemma-Scandi-300m](https://huggingface.co/emillykkejensen/EmbeddingGemma-Scandi-300m),99%,0.106,0.308,768.0,2048.0,,,,,,,,,,,
284,285,[e5-base-trm-nl](https://huggingface.co/clips/e5-base-trm-nl),99%,0.086,0.124,768.0,514.0,,,,,,,,,,,
285,286,[Qwen3-Embedding-Scandi-0.6B](https://huggingface.co/emillykkejensen/Qwen3-Embedding-Scandi-0.6B),99%,0.44,0.596,1024.0,32768.0,,,,,,,,,,,
286,287,[voyage-multimodal-3](https://huggingface.co/voyageai/voyage-multimodal-3),100%,,,1024.0,32768.0,,,,,,,,,,,
287,288,[e5-small-trm-nl](https://huggingface.co/clips/e5-small-trm-nl),99%,0.022,0.041,384.0,512.0,,,,,,,,,,,
288,289,[Querit](https://huggingface.co/Querit/Querit),99%,4.788,4.92,1024.0,4096.0,,,,,,,,,65.84,,
289,290,[jina-reranker-v3](https://huggingface.co/jinaai/jina-reranker-v3),97%,0.441,0.597,,131072.0,,,,,,,,,67.84,,
290,291,[dfm-sentence-encoder-large](https://huggingface.co/KennethEnevoldsen/dfm-sentence-encoder-large),100%,0.304,0.355,1024.0,512.0,,,,,,,,,,,
291,292,[xlm-roberta-ua-distilled](https://github.com/panalexeu/xlm-roberta-ua-distilled/tree/main),100%,0.086,0.278,768.0,512.0,,,,,,,,,,,
292,293,[dfm-sentence-encoder-medium](https://huggingface.co/KennethEnevoldsen/dfm-sentence-encoder-medium),100%,0.086,0.124,768.0,512.0,,,,,,,,,,,
293,294,[m2v-dfm-large](https://huggingface.co/rasgaard/m2v-dfm-large),100%,0.0,0.023,256.0,,,,,,,,,,,,
294,295,[model2vecdk-stem](https://huggingface.co/andersborges/model2vecdk-stem),100%,0.0,0.049,256.0,,,,,,,,,,,,
295,296,[model2vecdk](https://huggingface.co/andersborges/model2vecdk),100%,0.0,0.048,256.0,,,,,,,,,,,,
296,297,[bge-m3-unsupervised](https://huggingface.co/BAAI/bge-m3-unsupervised),98%,0.312,0.568,1024.0,8192.0,,,,,,,,,,,
297,298,[stella-large-zh-v3-1792d](https://huggingface.co/dunzhang/stella-large-zh-v3-1792d),100%,0.306,0.327,1792.0,512.0,,,,,,,,,,,
298,299,[Solon-embeddings-mini-beta-1.1](https://huggingface.co/OrdalieTech/Solon-embeddings-mini-beta-1.1),100%,0.113,0.212,768.0,8192.0,,,,,,,,,,,
299,300,[stella-base-zh-v3-1792d](https://huggingface.co/infgrad/stella-base-zh-v3-1792d),100%,0.088,0.104,1792.0,512.0,,,,,,,,,,,
300,301,[MicroLlama-text-embedding](https://huggingface.co/keeeeenw/MicroLlama-text-embedding),100%,0.239,0.272,1024.0,2048.0,,,,,,,,,,,
301,302,[bge-base-zh-v1.5](https://huggingface.co/BAAI/bge-base-zh-v1.5),100%,0.093,0.109,768.0,512.0,,,,,,,,,,,
302,303,[bge-large-zh-v1.5](https://huggingface.co/BAAI/bge-large-zh-v1.5),100%,0.313,0.335,1024.0,512.0,,,,,,,,,,,
303,304,[Dmeta-embedding-zh-small](https://huggingface.co/DMetaSoul/Dmeta-embedding-zh-small/),⚠️ NA,0.058,0.074,768.0,1024.0,,,,,,,,,,,
304,305,[XLMRoberta-en-da-sv-nb](https://huggingface.co/KFST/XLMRoberta-en-da-sv-nb),⚠️ NA,0.086,0.278,768.0,512.0,,,,,,,,,,,
305,306,[FRIDA](https://huggingface.co/ai-forever/FRIDA),83%,0.679,0.823,1536.0,512.0,,,,,,,,,,,
306,307,[gte-base-zh](https://huggingface.co/thenlper/gte-base-zh),⚠️ NA,0.086,0.102,1024.0,512.0,,,,,,,,,,,
307,307,[piccolo-base-zh](https://huggingface.co/sensenova/piccolo-base-zh),⚠️ NA,0.086,0.102,768.0,512.0,,,,,,,,,,,
308,309,[gte-large-zh](https://huggingface.co/thenlper/gte-large-zh),⚠️ NA,0.304,0.326,1024.0,512.0,,,,,,,,,,,
309,310,[zpoint_large_embedding_zh](https://huggingface.co/iampanda/zpoint_large_embedding_zh),99%,0.304,0.326,1792.0,512.0,,,,,,,,,,,
310,311,[bge-small-zh-v1.5](https://huggingface.co/BAAI/bge-small-zh-v1.5),100%,0.023,0.033,512.0,512.0,,,,,,,,,,,
311,312,[BERTA](https://huggingface.co/sergeyzh/BERTA),83%,0.086,0.128,768.0,512.0,,,,,,,,,,,
312,313,[text2vec-base-chinese](https://huggingface.co/shibing624/text2vec-base-chinese),100%,0.086,0.102,768.0,512.0,,,,,,,,,,,
313,314,[xiaobu-embedding-v2](https://huggingface.co/lier007/xiaobu-embedding-v2),⚠️ NA,0.304,0.326,768.0,512.0,,,,,,,,,,,
314,315,[Conan-embedding-v1](https://huggingface.co/TencentBAC/Conan-embedding-v1),⚠️ NA,0.304,0.326,768.0,512.0,,,,,,,,,,,
315,316,[atles-champion-embedding](https://huggingface.co/spartan8806/atles-champion-embedding),99%,0.086,0.109,768.0,512.0,,,,,,,,,,,
316,317,[sarashina-embedding-v2-1b](https://huggingface.co/sbintuitions/sarashina-embedding-v2-1b),100%,1.041,1.224,1792.0,8192.0,,,,,,,,,,,
317,318,[sbert-chinese-general-v1](https://huggingface.co/DMetaSoul/sbert-chinese-general-v1),99%,0.086,0.102,128.0,512.0,,,,,,,,,,,
318,319,[gte-small-zh](https://huggingface.co/thenlper/gte-small-zh),⚠️ NA,0.019,0.03,1024.0,512.0,,,,,,,,,,,
